City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,khovd,48.0056,91.6419,41.49,44,100,0.13,MN,2024-04-05
308,boa vista,2.8197,-60.6733,76.98,83,75,8.05,BR,2024-04-05
309,wanning,18.8003,110.3967,79.43,77,100,11.52,CN,2024-04-05
310,dunda,-8.1167,34.25,66.54,96,100,2.84,TZ,2024-04-05
311,peel,-33.3167,149.6333,57.65,99,87,3.44,AU,2024-04-05
312,mariental,-24.6333,17.9667,81.73,31,0,9.33,NA,2024-04-05
313,motueka,-41.1333,173.0167,57.09,89,99,1.5,NZ,2024-04-05
314,vilyuchinsk,52.9306,158.4028,25.07,80,82,10.22,RU,2024-04-05
315,acajutla,13.5928,-89.8275,88.32,60,23,16.2,SV,2024-04-05
316,naze,28.3667,129.4833,66.06,91,100,3.58,JP,2024-04-05
317,corning,42.1428,-77.0547,44.64,66,75,9.22,US,2024-04-05
318,jumla,29.2747,82.1838,42.13,62,100,5.39,NP,2024-04-05
319,sao caetano de odivelas,-0.75,-48.02,80.15,93,100,8.34,BR,2024-04-05
320,vilyuysk,63.7553,121.6247,-4.9,99,100,3.53,RU,2024-04-05
321,tamanrasset,22.785,5.5228,82.31,7,0,6.91,DZ,2024-04-05
322,mersing,2.4312,103.8405,77.99,82,36,2.06,MY,2024-04-05
323,santa cruz,-17.8,-63.1667,93.25,49,40,6.91,BO,2024-04-05
324,lanzhou,36.0564,103.7922,46.56,80,100,2.59,CN,2024-04-05
325,kayangel,8.0823,134.7173,81.7,72,28,19.33,PW,2024-04-05
326,urupes,-21.2017,-49.29,88.93,48,100,4.23,BR,2024-04-05
327,kerikeri,-35.2268,173.9474,53.04,93,4,3.29,NZ,2024-04-05
328,petauke,-14.2426,31.3253,69.6,87,13,4.5,ZM,2024-04-05
329,port blair,11.6667,92.75,78.84,94,43,2.3,IN,2024-04-05
330,nabire,-3.3667,135.4833,77.18,92,100,2.62,ID,2024-04-05
331,midvagur,62.0511,-7.1939,36.43,75,75,12.66,FO,2024-04-05
332,akureyri,65.6835,-18.0878,22.32,86,100,2.82,IS,2024-04-05
333,khanty-mansiysk,61.0042,69.0019,32.11,86,75,11.18,RU,2024-04-05
334,tuensang,26.2833,94.8333,61.0,93,34,4.56,IN,2024-04-05
335,acarau,-2.8856,-40.12,83.3,80,75,8.77,BR,2024-04-05
336,essaouira,31.5125,-9.77,72.23,54,100,8.25,MA,2024-04-05
337,new glasgow,45.5834,-62.6486,40.78,87,100,8.32,CA,2024-04-05
338,srandakan,-7.9386,110.2506,78.69,82,100,1.9,ID,2024-04-05
339,aasiaat,68.7098,-52.8699,20.19,91,56,9.01,GL,2024-04-05
340,al kharijah,25.4514,30.5464,80.56,12,6,13.71,EG,2024-04-05
341,uglich,57.5275,38.3317,30.11,59,100,7.92,RU,2024-04-05
342,bomdila,27.25,92.4,37.63,87,0,6.71,IN,2024-04-05
343,nikel,69.4128,30.222,15.98,87,20,8.81,RU,2024-04-05
344,jayapura,-2.5333,140.7,74.59,89,100,1.36,ID,2024-04-05
